smiles	kegg_id	formal_charge
CC(=O)NCCC(=O)[O-]	['C01073']	-1
O=[N+]([O-])c1ncc[n-]1	['C14531']	-1
CC[C@H](N)C(=O)[O-]	['C02356']	-1
C[NH2+]CCP(=O)([O-])[O-]	['C05679']	-1
O=C(CO)COP(=O)([O-])[O-]	['C00111', 'C00111']	-2
CC(C)[C@H](N)C(=O)[O-]	['C00183']	-1
O=C([O-])C(=O)CS(=O)[O-]	['C05527']	-2
NC(=O)[N-][C@H](N)C(=O)O	['C02091']	-1
[NH-]C(=O)CC(=O)C(=O)[O-]	['C02362']	-2
CCCC(CCC(=O)[O-])C(=O)[O-]	['C16658']	-2
[NH-]C(=O)[N-]CCCCN	['C00436']	-2
NC(=O)N[C@@H](O)C(=O)[O-]	['C00603', 'C00603', 'C00603']	-1
NC(=O)[N-][C@H]([NH3+])C(=O)[O-]	['C02091', 'C02091']	-1
NC(=O)C(=O)[O-]	['C01444', 'C01444']	-1
N=C(N)NCCC[C@@H](C(=O)[O-])N1CCC1=O	['C06656']	-1
C=C(OP(=O)([O-])O)C(=O)O	['C00074', 'C00074']	-1
O=C([O-])C1=CC[C@@H]2CC(=O)N12	['C06669']	-1
N[C@@H](CCS)C(=O)[O-]	['C00155', 'C00155']	-1
C[NH2+]CCOP(=O)([O-])[O-]	['C01210']	-1
C[C@@H]([NH2+][C@@H](CCCCN)C(=O)[O-])C(=O)[O-]	['C04020']	-1
CC(=O)NCCCCC(=O)[O-]	['C03087']	-1
Cc1cccc(C(=O)[O-])c1	['C07211']	-1
N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)[O-]	['C02291']	-1
Oc1c[n-]c2ccccc12	['C05658']	-1
O=S(=O)([O-])NC1CCCCC1	['C02824']	-1
O=C[N-]C(=O)/C=C\C(=O)O	['C18232']	-1
O=C([O-])C(=O)CS(=O)(=O)[O-]	['C05528']	-2
O=C(O)CP(=O)([O-])O	['C05682', 'C05682']	-1
O=C([O-])CC[C@H](O)C(=O)[O-]	['C03196', 'C03196', 'C03196']	-2
O=C([O-])CC[C@@H](O)C(=O)[O-]	['C01087', 'C01087', 'C01087']	-2
O=C([O-])CCC(O)C(=O)[O-]	['C02630', 'C02630', 'C02630']	-2
