kegg_id	smiles	formal_charge
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	-1
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	-2
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[n-]1	-2
C00016	Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	-1
C00016	Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	-2
C00016	Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	-2
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)[nH+]cnc32)[C@H](O)[C@@H]1O	1
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)nc[nH+]c32)[C@H](O)[C@@H]1O	1
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2c[nH+]c3c(N)[nH+]cnc32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2c[nH+]c3c(N)ncnc32)[C@H](O)[C@@H]1O	2
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2c[nH+]c3c(N)ncnc32)[C@H](O)[C@@H]1O	1
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c([NH3+])ncnc32)[C@H](O)[C@@H]1O	1
