smiles	kegg_id	formal_charge
[NH3+]CCCC[C@H]([NH3+])C(=O)O	['C00047']	2
[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)O	['C00082']	1
CC(=O)C[C@@H]([NH3+])C(=O)O	['C03341']	1
C[NH+]1CCC[C@H]1c1ccc(=O)[nH]c1	['C01056']	1
C[NH+]1CCC[C@@H]1c1ccc(=O)[nH]c1	['C03043']	1
C[C@H]([NH3+])CC[C@@H]([NH3+])C(=O)O	['C05161']	2
NCCC[C@H]([NH3+])CC(=O)O	['C01142']	1
N[C@@H](CC[NH3+])C(=O)O	['C03283']	1
C[NH+](C)Cc1c[nH]c2ccccc12	['C08304']	1
N[C@H](CCC[NH3+])C(=O)O	['C00515']	1
N[C@@H](CCC[NH3+])C(=O)O	['C00077']	1
C[C@H]([NH3+])CC[C@@H]([NH3+])C(=O)[O-]	['C05161']	1
CC(=O)C[NH3+]	['C01888']	1
C[C@H](N)C[C@H]([NH3+])CC(=O)O	['C01186']	1
Oc1cccc(O)[nH+]1	['C03056']	1
NCCCC[NH2+]CCC[NH3+]	['C00315']	2
Cc1cc(O)cc(C)c1[NH3+]	['C16570']	1
C[C@H]([NH3+])C[C@@H](N)C(=O)O	['C03943']	1
C[C@H]([NH3+])C[C@H](N)CC(=O)O	['C01186']	1
N[C@@H](C[NH3+])C(=O)O	['C03401']	1
N[C@@H](CCC[NH3+])CC(=O)O	['C01142']	1
CC(=O)[C@H]([NH3+])C(=O)O	['C03508']	1
C[C@H]([NH3+])C[C@H]([NH3+])CC(=O)O	['C01186']	2
N[C@@H](CCCC[NH3+])C(=O)O	['C00047']	1
N[C@H](CCCC[NH3+])C(=O)O	['C00739']	1
NCCCCC[NH2+]CCC[NH3+]	['C16565']	2
NCCC[NH2+]CCC[NH3+]	['C03375']	2
C[C@H]([NH3+])CC[C@@H](N)C(=O)O	['C05161']	1
NCCCC[NH2+]CCCN	['C00315']	1
CC[NH2+]c1nc(O)nc(O)n1	['C06558']	1
NCCCC[NH2+]CCCC[NH3+]	['C06366']	2
NCCCC[NH2+]CCCCN	['C06366']	1
NCCC[NH2+]CCCCC[NH3+]	['C16565']	2
NCCCCC[NH2+]CCCN	['C16565']	1
Oc1nc(O)nc([NH2+]C2CC2)n1	['C14149']	1
CC(C)[NH2+]c1nc(O)nc(O)n1	['C06553']	1
c1cncc(C2CC[NH2+]C(c3cccnc3)C2)c1	['C12454']	1
NCCC[NH2+]CCCC[NH3+]	['C00315']	2
[NH3+]C(CC(=O)O)c1ccc(O)cc1	['C04368']	1
CC(=O)CCC([NH3+])C(=O)O	['C05825']	1
[NH3+]CC(=O)CCC(=O)O	['C00430']	1
COc1cc(C[NH3+])ccc1O	['C16666']	1
[NH3+]CCC[C@H]([NH3+])CC(=O)O	['C01142']	2
C[NH+](C)CC[NH+](Cc1ccccc1)c1ccccc1	['C14410']	2
[NH3+]c1cccc2ccccc12	['C14790']	1
Oc1ccc(O)[nH+]c1	['C01059']	1
C[NH+]1CCC=C1c1ccc(O)nc1O	['C16151']	1
NCCC[NH2+]CCCN	['C03375']	1
[NH3+]CCCCC(=O)C(=O)O	['C03239']	1
O=N[NH+]1CCCC1c1ccc[nH+]c1	['C16452']	2
C[C@H]([NH3+])CC(=O)CC(=O)O	['C03656']	1
[NH3+]C[C@H](O)c1ccc(O)cc1	['C04227']	1
CC(=O)NCCCC[NH3+]	['C02714']	1
C[C@@H]1[NH2+]CCc2cc(O)c(O)cc21	['C09642']	1
C[NH+]1C2CCC1CC(O)C2	['C00729', 'C02066']	1
COc1cc(CC[NH3+])ccc1O	['C05587']	1
C[NH+]1CCC[C@H]1c1ccc(O)[nH+]c1	['C01056']	2
C[NH+]1CCC[C@@H]1c1ccc(O)[nH+]c1	['C03043']	2
CC([NH3+])C(N)CCCCCC(=O)O	['C01037']	1
[NH3+]c1nc(O)nc(O)n1	['C08734']	1
CC(=O)OC1CC2CCC(C1)[NH+]2C	['C12452', 'C12453']	1
CC(N)C([NH3+])CCCCCC(=O)O	['C01037']	1
[NH3+]CCCC(=O)C(=O)O	['C01110']	1
C[NH+]1CCCC[C@H]1C[C@H](O)c1ccccc1	['C10171']	1
C[NH2+]CCc1c[nH]c2ccccc12	['C06213']	1
CC([NH3+])C([NH3+])CCCCCC(=O)[O-]	['C01037']	1
CC(=O)CC1CCCC[NH2+]1	['C06182']	1
C[C@H]([NH3+])C(=O)c1ccccc1	['C08301']	1
Cc1ncc(COP(=O)(O)O)c([NH3+])n1	['C04556']	1
CN(CC(=O)O)C(N)=[NH2+]	['C00300']	1
C[NH2+]CCCC(=O)c1ccc(O)nc1	['C01297']	1
CCCN(/C=[NH+]/c1cccc(=O)[nH]1)CCC	['C15477']	1
[NH3+]c1ccc(-c2ccccc2)cc1	['C10998']	1
CC([NH3+])C([NH3+])CCCCCC(=O)O	['C01037']	2
C[NH2+]C[C@H](O)c1ccc(O)c(OC)c1	['C05588']	1
CC(=O)CC1CCCC[NH+]1C	['C06184']	1
CC[NH2+]c1nc(N)nc(O)n1	['C06557']	1
[NH3+]CCc1c[nH]c2ccccc12	['C00398']	1
C[NH+](CC(=O)O)C(N)=O	['C01043']	1
[NH3+][C@@H](CCCC[NH2+]O)C(=O)[O-]	['C01028']	1
OCC[NH2+]CCO	['C06772']	1
Nc1c[nH+]c[nH]1	['C05239']	1
c1c[nH+]cc(C2CCNC(c3cccnc3)C2)c1	['C12454']	1
c1cncc(C2CCNC(c3ccc[nH+]c3)C2)c1	['C12454']	1
CC[NH+](CC)CC(=O)Nc1c(C)cccc1C	['C07073']	1
[NH3+][C@@H](CCCCNO)C(=O)O	['C01028']	1
CC(=O)O[C@H]1CCN2C[C@@H]([NH3+])CCC12	['C06185']	1
CN1CCCC1CC(=O)CC1CCC[NH+]1C	['C06521']	1
O=C(O)[C@H]1[NH2+]CC[C@@H]1O	['C05147']	1
Nc1nc(O)nc([NH2+]C2CC2)n1	['C14148']	1
[NH3+]c1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1	['C07207']	1
c1cncc(C2CC[NH2+]C(c3ccc[nH+]c3)C2)c1	['C12454']	2
CC1=[NH+][C@H](C(=O)O)CCN1	['C06231']	1
C[C@H](O)[C@@H]([NH3+])C(=O)O	['C00820']	1
C[C@@H](O)[C@H]([NH3+])C(=O)O	['C00188']	1
C[C@H](O)[C@H]([NH3+])C(=O)O	['C05519']	1
[NH3+][C@H](CO)C(=O)O	['C00740']	1
[NH3+]C(CO)C(=O)O	['C00716']	1
[NH3+][C@@H](CO)C(=O)O	['C00065']	1
[NH3+][C@@H](CCCC[NH2+]O)C(=O)O	['C01028']	2
[NH3+][C@@H](CC[PH](=O)O)C(=O)O	['C17962']	1
Cc1ncc(CO)c(C[NH3+])c1O	['C00534']	1
CCNc1nc([NH3+])nc(O)n1	['C06557']	1
C[N+](C)(C)CCP(=O)(O)O	['C06459']	1
O=C(O)C1=CC[C@@H]2CC(=O)[NH+]12	['C06669']	1
O=c1cccc2n1C[C@@H]1C[NH2+]C[C@H]2C1	['C10763']	1
O=C(O)[C@H]1C[C@@H](O)C[NH2+]1	['C03440']	1
O=C(O)[C@@H]1C[C@@H](O)C[NH2+]1	['C01157']	1
CC([NH3+])C(=O)CCCCCC(=O)O	['C01092']	1
[NH3+][C@@H](CCO)C(=O)O	['C00263']	1
C[n+]1cccc(C(N)=O)c1	['C02918']	1
[NH3+][C@@H]1CONC1=O	['C08057']	1
CC[NH2+]CC(=O)Nc1c(C)cccc1C	['C16561']	1
[NH3+]c1[nH+]cnc2[n-]cnc12	['C00147']	1
CC[C@H](OC(C)=O)C(C[C@H](C)[NH2+]C)(c1ccccc1)c1ccccc1	['C16661']	1
C[NH+](C)CCP(=O)(O)O	['C05680']	1
C[N+](C)(C)[C@@H](Cc1c[nH]cn1)C(=O)O	['C05575']	1
COc1cc([C@@H](O)C[NH3+])ccc1O	['C05589']	1
O=C1CC[NH+]2CCCC[C@@H]12	['C16697']	1
C1CN1c1nc([NH+]2CC2)nc([NH+]2CC2)n1	['C07642']	2
C[NH+](CCCC(=O)c1cccnc1)N=O	['C16453']	1
CP(=O)(O)CC[C@H]([NH3+])C(=O)O	['C04650']	1
CC[C@H](OC(C)=O)C(C[C@H](C)[NH+](C)C)(c1ccccc1)c1ccccc1	['C08012']	1
c1c[nH+]cc(C2CC[NH2+]C(c3cccnc3)C2)c1	['C12454']	2
NC(=O)CCCC[NH3+]	['C00990']	1
COc1cc2c(c(O)c1OC)C(C)[NH2+]CC2	['C16704']	1
C[N+](C)(C)CCOP(=O)(O)O	['C00588']	1
N[C@@H](CCCC[NH2+]O)C(=O)O	['C01028']	1
O=C(O)c1cc[nH+]cc1	['C07446']	1
[NH3+]c1nc(O)nc(NC2CC2)n1	['C14148']	1
C[C@H]1[NH2+]CCc2c1[nH]c1ccccc21	['C09089']	1
[NH3+]c1nc[nH+]c2[n-]cnc12	['C00147']	1
CC[NH+](CC)CC(C)(C)COC(=O)C(CO)c1ccccc1	['C11760']	1
[NH3+]c1ncnc2[n-]c[nH+]c12	['C00147']	1
Cc1[nH]c[nH+]c1CC[NH3+]	['C17929']	2
COc1cc2c(c(O)c1OC)C[NH2+]CC2	['C12231']	1
O[C@@H]1CCN2Cc3ccccc3[NH+]=C12	['C10733']	1
CC(=O)O[C@H]1CC[NH+]2C[C@@H](N)CCC12	['C06185']	1
[NH3+]CCc1c[nH]c[nH+]1	['C00388']	2
CC[NH2+]c1nc(O)nc(NC(C)C)n1	['C06552']	1
CC[NH2+]c1nc([NH3+])nc(O)n1	['C06557']	2
Cc1ccc([N+](=O)[O-])cc1[NH3+]	['C16398']	1
O=C(O)c1ccc[nH+]c1	['C00253']	1
Cc1ccc([NH3+])cc1[N+](=O)[O-]	['C18320']	1
C1CN1c1nc(N2CC2)nc([NH+]2CC2)n1	['C07642']	1
O=C(O)c1cccc[nH+]1	['C10164']	1
NCCc1c[nH]c[nH+]1	['C00388']	1
C[N+](C)(C)CCC[C@H](O)[C@H]([NH3+])C(=O)O	['C01259']	2
C[NH2+]CCP(=O)(O)O	['C05679']	1
CN1CC(=O)NC1=[NH2+]	['C00791']	1
C[N+](C)(C)CCC[C@H](O)[C@H]([NH3+])C(=O)[O-]	['C01259', 'C01259']	1
Cn1c[nH+]c(CC(=O)O)c1	['C05828']	1
NCCC[NH2+]CCCC[NH2+]CCCN	['C00750']	2
C[NH+](N=O)C(N)=O	['C14595']	1
OCC1=CC[NH+]2CC[C@@H](O)[C@@H]12	['C06177']	1
NCCCNCCCC[NH2+]CCCN	['C00750']	1
Cc1[nH]c[nH+]c1CCN	['C17929']	1
[NH3+]c1ncnc2[nH]cnc12	['C00147']	1
[NH3+]c1nc(O)nc([NH2+]C2CC2)n1	['C14148']	2
CCNc1nc(O)nc([NH2+]C(C)C)n1	['C06552']	1
CC[NH2+]c1nc(O)nc([NH2+]C(C)C)n1	['C06552']	2
[NH3+]c1nc([NH3+])nc(NC2CC2)n1	['C14147']	2
CN1CCC=C1c1ccc(O)[nH+]c1O	['C16151']	1
[NH3+]CCCNCCC([NH3+])C(=O)[O-]	['C18174']	1
NCCC[NH2+]CCC([NH3+])C(=O)[O-]	['C18174']	1
c1[nH]cc(CC2CC[NH2+]CC2)[nH+]1	['C17932']	2
CC(C)=CC[NH2+]c1[nH+]cnc2[n-]cnc12	['C04083']	1
CC(=O)O[C@H]1CC[NH+]2C[C@@H]([NH3+])CCC12	['C06185']	2
[NH3+]CCC[NH2+]CCC([NH3+])C(=O)[O-]	['C18174']	2
c1[nH]cc(CC2CCNCC2)[nH+]1	['C17932']	1
[NH3+]CCCNCCCCNCCC[NH3+]	['C00750']	2
NCCCC[NH2+]CCC([NH3+])C(=O)[O-]	['C18172']	1
Nc1nc([NH3+])nc(O)n1	['C08733']	1
NC(CC[NH2+]CCC[NH3+])C(=O)[O-]	['C18174']	1
[NH3+]c1c[nH+]c[nH]1	['C05239']	2
CC(=O)NCC[C@H]([NH3+])C(=O)O	['C06442']	1
NCCCNCCC([NH3+])C(=O)O	['C18174']	1
[NH3+]CCCCNCCC([NH3+])C(=O)[O-]	['C18172']	1
NCCC[NH2+]CCC([NH3+])C(=O)O	['C18174']	2
[NH3+]CCP(=O)(O)O	['C03557']	1
CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1	['C07163']	1
O=C(O)c1ccc(O)[nH+]c1	['C01020']	1
Cc1ncc(CO)c(N)[nH+]1	['C01279']	1
C[N+](C)(C)CCC[C@H](O)[C@H](N)C(=O)O	['C01259']	1
O[NH2+]CCc1c[nH]c2ccccc12	['C17203']	1
[NH3+]CCCC[NH2+]CCC([NH3+])C(=O)[O-]	['C18172']	2
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CC[NH+](C)[C@@H]1N2C	['C06535']	1
C[NH+]1C2CCC1CC(=O)C2	['C00783']	1
COc1cc(CC[NH3+])cc(OC)c1OC	['C06546']	1
Nc1nc([NH3+])nc([NH2+]C2CC2)n1	['C14147']	2
NCCCNCCCC[NH2+]CCC[NH3+]	['C00750']	2
NCCCCNCCC([NH3+])C(=O)O	['C18172']	1
O=C(O)[C@H](Cc1ccc(O)cc1)[NH2+]O	['C03004']	1
NCCC[NH2+]CCCCNCCC[NH3+]	['C00750']	2
OC[C@@H]1CCC[NH+]2CCCC[C@H]12	['C10773']	1
COc1cc2c(c(OC)c1OC)C(C)[NH2+]CC2	['C16705']	1
C=Cc1c[nH+]cc2c1CCOC2=O	['C06525']	1
CN(N=O)C(=[NH2+])N[N+](=O)[O-]	['C14592']	1
NCCCNCCCCNCCC[NH3+]	['C00750']	1
C[C@H](C[NH3+])OP(=O)(O)O	['C04122']	1
NC(CC[NH2+]CCCC[NH3+])C(=O)[O-]	['C18172']	1
NCCCC[NH2+]CCC([NH3+])C(=O)O	['C18172']	2
CC(C)=CC[NH2+]c1ncnc2[n-]c[nH+]c12	['C04083']	1
[NH3+]CCCNCCC([NH3+])C(=O)O	['C18174']	2
CC(=O)NCCCC[C@H]([NH3+])C(=O)O	['C02727']	1
Cc1[nH+]cc(C(=O)O)cc1O	['C01270']	1
C[NH+]1CCCC1CC(=O)CC1CCC[NH+]1C	['C06521']	2
[NH3+]CCOP(=O)(O)O	['C00346']	1
[NH3+]CCCCNCCC([NH3+])C(=O)O	['C18172']	2
Nc1nc(N)nc([NH2+]C2CC2)n1	['C14147']	1
Nc1nc([NH3+])nc(NC2CC2)n1	['C14147']	1
CC(C)=CC[NH2+]c1nc[nH+]c2[n-]cnc12	['C04083']	1
[NH3+][C@H](C(=O)O)c1cc(O)cc(O)c1	['C12026']	1
C[NH+](C)CCOP(=O)(O)O	['C13482']	1
CC[C@H](OC(C)=O)C(C[C@H](C)[NH3+])(c1ccccc1)c1ccccc1	['C16662']	1
CC(N/C(NC#N)=[NH+]/c1ccncc1)C(C)(C)C	['C13729']	1
NC(CCNCCC[NH3+])C(=O)O	['C18174']	1
[NH3+]c1nc([NH3+])nc(O)n1	['C08733']	2
O=C(O)[C@@H]1Cc2cc(O)c(O)cc2[NH2+]1	['C05604']	1
CC(=O)N[C@@H](CCC[NH3+])C(=O)O	['C00437']	1
C[NH2+]CCOP(=O)(O)O	['C01210']	1
NC(CCNCCCC[NH3+])C(=O)O	['C18172']	1
Cc1nc(N)c(CO)c[nH+]1	['C01279']	1
CCNc1nc(O)nc(NC(C)C)[nH+]1	['C06552']	1
NCCC[NH2+]CCC(N)C(=O)O	['C18174']	1
COc1ccc2c3c1O[C@H]1CC(=O)C=C[C@@]31CC[NH2+]C2	['C16703']	1
[NH3+][C@H](CO)Cc1c[n-]c[nH+]1	['C00860']	1
Nc1cc[nH]c(=O)[nH+]1	['C00380']	1
NC(=O)C[C@H]([NH3+])C(=O)O	['C00152']	1
NC(CC[NH2+]CCC[NH3+])C(=O)O	['C18174']	2
CC(=O)OC[C@H]([NH3+])C(=O)O	['C00979']	1
