smiles	cation	anion	name	cas	url
COCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	COCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-(2-Methoxyethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	178631-01-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0333-hp
C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	C[n+]1ccn(CCCCS(=O)(=O)O)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-(4-sulfobutyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	909390-59-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0354-hp
C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)([O-])C(F)(F)F	C[n+]1ccn(CCCCS(=O)(=O)O)c1	O=S(=O)([O-])C(F)(F)F	1-(4-sulfobutyl)-3-methylimidazolium triflate	657414-80-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0353-hp
C=CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	C=CCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Allyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	655249-87-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0239-hp
C=CCn1cc[n+](C)c1.[Cl-]	C=CCn1cc[n+](C)c1	[Cl-]	1-Allyl-3-methylimidazolium chloride	65039-10-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0022-hp
C=CCn1cc[n+](C)c1.N#CN=C=[N-]	C=CCn1cc[n+](C)c1	N#CN=C=[N-]	1-Allyl-3-methylimidazolium dicyanamide	917956-73-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0240-hp
C=CCn1cc[n+](C)c1.[I-]	C=CCn1cc[n+](C)c1	[I-]	1-Allyl-3-methylimidazolium iodide	65039-07-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0231-hp
C[n+]1ccn(Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	C[n+]1ccn(Cc2ccccc2)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Benzyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	433337-24-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0241-hp
C[n+]1ccn(Cc2ccccc2)c1.[Cl-]	C[n+]1ccn(Cc2ccccc2)c1	[Cl-]	1-Benzyl-3-methylimidazolium chloride	36443-80-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0140-hp
C[n+]1ccn(Cc2ccccc2)c1.N#CN=C=[N-]	C[n+]1ccn(Cc2ccccc2)c1	N#CN=C=[N-]	1-Benzyl-3-methylimidazolium dicyanamide	958445-60-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0242-hp
C[n+]1ccn(Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F	C[n+]1ccn(Cc2ccccc2)c1	F[P-](F)(F)(F)(F)F	1-Benzyl-3-methylimidazolium hexafluorophosphate	433337-11-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0187-hp
C[n+]1ccn(Cc2ccccc2)c1.F[B-](F)(F)F	C[n+]1ccn(Cc2ccccc2)c1	F[B-](F)(F)F	1-Benzyl-3-methylimidazolium tetrafluoroborate	500996-04-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0193-hp
CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[N+]1(C)CCCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide	623580-02-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0154-hp
CCCC[N+]1(C)CCCCC1.[Br-]	CCCC[N+]1(C)CCCCC1	[Br-]	1-Butyl-1-methylpiperidinium bromide	94280-72-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/iolilyte-fbe-3000
CCCC[N+]1(C)CCCCC1.[Br-]	CCCC[N+]1(C)CCCCC1	[Br-]	1-Butyl-1-methylpiperidinium bromide	94280-72-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0153-hp
CCCC[N+]1(C)CCCCC1.[Cl-]	CCCC[N+]1(C)CCCCC1	[Cl-]	1-Butyl-1-methylpiperidinium chloride	845790-13-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0155-hp
CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F	CCCC[N+]1(C)CCCCC1	F[P-](F)(F)(F)(F)F	1-Butyl-1-methylpiperidinium hexafluorophosphate	1257647-66-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0156-hp
CCCC[N+]1(C)CCCCC1.[I-]	CCCC[N+]1(C)CCCCC1	[I-]	1-Butyl-1-methylpiperidinium iodide	37971-78-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0169-hp
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F	CCCC[N+]1(C)CCCCC1	F[B-](F)(F)F	1-Butyl-1-methylpiperidinium tetrafluoroborate	886439-34-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0152-hp
CCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F	CCCC[N+]1(C)CCCCC1	O=S(=O)([O-])C(F)(F)F	1-Butyl-1-methylpiperidinium triflate	1357500-93-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0174-hp
CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F	CCCC[N+]1(C)CCCC1	O=S(=O)(F)[N-]S(=O)(=O)F	1-Butyl-1-methylpyrrolidinium bis(fluorosulfonyl)imide, >99.5%	1057745-51-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0343
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[N+]1(C)CCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99.5%	223437-11-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0035
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[N+]1(C)CCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99.5% - OP	223437-11-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0035-op
CCCC[N+]1(C)CCCC1.[Br-]	CCCC[N+]1(C)CCCC1	[Br-]	1-Butyl-1-methylpyrrolidinium bromide	93457-69-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0074-hp
