entry	smiles
C00257	O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C00258	O=C(O)[C@H](O)CO
C00259	OC1OC[C@H](O)[C@H](O)[C@H]1O
C00261	O=Cc1ccccc1
C00262	O=c1[nH]cnc2[nH]cnc12
C00263	N[C@@H](CCO)C(=O)O
C00266	O=CCO
C00267	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00268	C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1
C00270	CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(O)(C(=O)O)C[C@@H]1O
C00272	C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
C00275	O=P(O)(O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00279	O=C[C@H](O)[C@H](O)COP(=O)(O)O
C00280	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
C00282	[H][H]
C00283	S
C00286	Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
C00288	O=C([O-])O
C00291	[Ni]
C00292	Nc1ccccc1
C00294	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00295	O=C(O)c1cc(=O)[nH]c(=O)[nH]1
C00296	O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
C00299	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00300	CN(CC(=O)O)C(=N)N
C00301	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
C00302	NC(CCC(=O)O)C(=O)O
C00305	[Mg+2]
C00306	N=C(N)NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(=O)O
C00307	C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
C00309	OCC1(O)OC[C@@H](O)[C@H]1O
C00310	OCC1(O)OC[C@@H](O)[C@@H]1O
C00311	O=C(O)CC(C(=O)O)C(O)C(=O)O
C00312	OCC1(O)OC[C@H](O)[C@H]1O
C00313	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)O
C00314	Cc1ncc(CO)c(CO)c1O
C00315	NCCCCNCCCN
C00318	C[N+](C)(C)C[C@H](O)CC(=O)[O-]
C00319	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO
