smiles_cation	kegg_id_cation	formal_charge_cation	smiles_anion	kegg_id_anion	formal_charge_anion	smiles_il	distance	commercial_il
C[N+]1=CCCC1	['C06178']	1	CC[C@]([O-])(C(C)=O)C(=O)[O-]	['C06006']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC[C@]([O-])(C(C)=O)C(=O)[O-]	12.714650486220256	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
CCC[C@H]1CCCC[NH2+]1	['C06523']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	CCC[C@H]1CCCC[NH2+]1.CCCCCCCC(=O)[O-]	12.722217078865356	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCCC(CC(C)=O)C(=O)[O-]	['C16655']	-1	C[N+]1=CCCC1.CCCC(CC(C)=O)C(=O)[O-]	12.766410537896158	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[NH3+]	['C00218']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	C[NH3+].CCCCCCCC(=O)[O-]	12.874813046274408	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
Cn1cnc(CC[NH3+])c1	['C05127']	1	CCCCCCCCCC(=O)[O-]	['C01571']	-1	Cn1cnc(CC[NH3+])c1.CCCCCCCCCC(=O)[O-]	12.912627346182045	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C[N-]C1CCCCC1	['C11519']	-1	C[N+]1=CCCC1.O=C[N-]C1CCCCC1	12.922922812146638	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C1CC[NH2+]CC1	['C01746']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	C1CC[NH2+]CC1.CCCCCCCC(=O)[O-]	12.927608540483286	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCCC(C(=O)[O-])C([O-])CC	['C16651']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CCCC(C(=O)[O-])C([O-])CC	12.93058605137089	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C1=CC[C@@H](c2cccnc2)[NH2+]C1	['C10126']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	C1=CC[C@@H](c2cccnc2)[NH2+]C1.CCCCCCCC(=O)[O-]	12.998500021660568	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[NH2+]C	['C00543']	1	CCCCCCCCCC(=O)[O-]	['C01571']	-1	C[NH2+]C.CCCCCCCCCC(=O)[O-]	13.005978822659905	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
[NH3+]C1CCCCC1	['C00571']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	[NH3+]C1CCCCC1.CCCCCCCC(=O)[O-]	13.019377449486948	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC[C@@](C)([O-])[C@@H](O)C(=O)[O-]	['C06007']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC[C@@](C)([O-])[C@@H](O)C(=O)[O-]	13.048084338128175	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
