name	cas	url
1-Butyl-4-methylpyridinium tricyanomethanide, 98%	1312925-66-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0319-hp
1-Butyl-4-methylpyridinium triflate, 99%	882172-79-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0180-hp
1-Butylbenzimidazole, >98%	4886-30-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/other-heterocycles/ki-0041-hp
1-Butylimidazole, >98%	4316-42-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/1-alkylimidazoles/ki-0004-hp
1-Butylpyridinium bis(trifluoromethylsulfonyl)imide, 99%	187863-42-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0213-hp
1-Butylpyridinium bromide, 99%	874-80-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0086-hp
1-Butylpyridinium chloride, >98%	1124-64-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0087-hp
1-Butylpyridinium hexafluorophosphate, 99%	186088-50-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0088-hp
1-Butylpyridinium iodide, >98%	874-81-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0176-hp
1-Butylpyridinium tetrafluoroborate, 99%	203389-28-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0089-hp
1-Butylpyridinium triflate, 99%	390423-43-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0182-hp
1-Decyl-2-methylimidazole, >98%	42032-30-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/1-alkyl-2-methylimidazoles/ki-0013-hp
1-Decyl-3-methylimidazolium bromide, >98%	188589-32-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/IL-0064-HP
1-Decyl-3-methylimidazolium chloride, >98%	171058-18-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0065-hp
1-Decyl-3-methylimidazolium hexafluorophosphate, >98%	362043-46-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0066-hp
1-Decyl-3-methylimidazolium tetrafluoroborate, >98%	244193-56-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0067-hp
