smiles	kegg_id
COc1cc2c(cc1O)C[NH+]1CCC23C=CC(=O)CC13	['C21405', 'C21406']
COc1cc2c(cc1O)C[NH+]1CCC23C=CC(O)CC13	['C12180', 'C21635']
COc1cc2c(cc1O)C[NH+]1CCC23CCC(O)CC13	['C21637', 'C21639']
COc1cc2c(cc1O)C[NH+]1CCC3=CCC(=O)C2C31	['C21633']
COc1ccc2[nH]c[nH+]c2c1	['C22450']
COc1ccc2[nH]cc(CC[NH3+])c2c1	['C05659']
COc1ccc2c(c1)[nH]c1c(C)[nH+]ccc12	['C06538']
COc1ccc2c3c([nH]c2c1)C(C)[NH2+]CC3	['C09243']
COc1ccc2c3c1OC1C(=O)C=CC4C(C2)[NH+](C)CCC314	['C06171']
COc1ccc2c3c1OC1C(=O)CC=C4C(C2)[NH+](C)CCC431	['C06172']
COc1ccc2c3c1OC1C(O)C=CC4C(C2)[NH+](C)CCC341	['C06174']
COc1ccc2c3c1OC1C(O)C=CC4C(C2)[NH2+]CCC341	['C16576']
COc1ccc2c3c1OC1CC(=O)C=CC31CC[NH2+]C2	['C16703']
COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2	['C08526']
COc1ccc2c3c1OC1CC(O)C=CC31CC[NH2+]C2	['C12173']
COc1cccc(C(=O)O)c1[NH3+]	['C05831']
COc1cccc2c(O)cc(C(=O)O)[nH+]c12	['C05830']
CSCC([NH3+])C(=O)O	['C22040']
CSCCC([NH3+])C(=O)O	['C00073', 'C00855']
CSCCCC([NH3+])C(=O)O	['C17213']
CSCCCCC([NH3+])C(=O)O	['C17217']
CSCCCCCC([NH3+])C(=O)O	['C17221']
CSCCCCCCC([NH3+])C(=O)O	['C17225']
CSCCCCCCCC([NH3+])C(=O)O	['C17229']
CSCCCCCCCCC([NH3+])C(=O)O	['C17233']
CSc1[nH+]c[nH+]c2[nH+]c[n-]c12	['C16614']
CSc1[nH+]c[nH+]c2nc[n-]c12	['C16614']
CSc1[nH+]c[nH+]c2nc[nH]c12	['C16614']
CSc1[nH+]cnc2[nH+]c[n-]c12	['C16614']
CSc1[nH+]cnc2[nH+]c[nH]c12	['C16614']
CSc1[nH+]cnc2nc[nH]c12	['C16614']
CSc1nc[nH+]c2[nH+]c[n-]c12	['C16614']
CSc1nc[nH+]c2[nH+]c[nH]c12	['C16614']
CSc1nc[nH+]c2nc[nH]c12	['C16614']
CSc1ncnc2[nH+]c[nH]c12	['C16614']
C[N+]#N	['C20302']
C[N+](C)(C)C(Cc1c[nH]c[nH+]1)C(=O)O	['C05575']
