smiles	kegg_id
CC(C(=O)[O-])C(=O)O	['C02170']
CC(C(=O)[O-])C(=O)[O-]	['C02170']
CC(C)(C1=CC(=O)C(=O)C=C1)c1ccc([O-])cc1	['C13628']
CC(C)(C=O)C(O)C(=O)[O-]	['C01053', 'C01053']
CC(C)(C=O)C([O-])C(=O)[O-]	['C01053']
CC(C)(CO)C(=O)C(=O)[O-]	['C00966', 'C00966']
CC(C)(C[O-])C(=O)C(=O)[O-]	['C00966']
CC(C)(O)C(=O)C(=O)[O-]	['C04181', 'C04181']
CC(C)(O)CC(=O)[O-]	['C20827', 'C20827']
CC(C)([O-])C#N	['C02659']
CC(C)([O-])C(=O)C(=O)[O-]	['C04181']
CC(C)([O-])C1Cc2c(ccc3ccc(=O)oc23)O1	['C19707']
CC(C)([O-])C1Cc2cc3ccc(=O)oc3cc2O1	['C09276']
CC(C)([O-])CC(=O)[O-]	['C20827']
CC(C)(c1ccc([O-])cc1)c1ccc(O)cc1	['C13624']
CC(C)(c1ccc([O-])cc1)c1ccc([O-])cc1	['C13624']
CC(C)=C1C=C2CCC3C(C)(C[O-])CCCC3(C)C2CC1	['C11884']
CC(C)=CCC1OC1(C)C1C([O-])C(=O)CCC12CO2	['C22631']
CC(C)=CCCC(C)([O-])C1CC=C(C)CC1	['C09621', 'C20479']
CC(C)=CCCC(C)=CC(=O)[O-]	['C16461']
CC(C)=CCCC(C)=CCCC(C)=CC(=O)[O-]	['C16502']
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CC[O-]	['C09094']
CC(C)=CCCC(C)=CCCC(C)=CC[O-]	['C01126', 'C03220']
CC(C)=CCCC(C)=CCOP(=O)([O-])O	['C21203']
CC(C)=CCCC(C)=CCOP(=O)([O-])[O-]	['C21203']
CC(C)=CCCC(C)=CC[O-]	['C01500', 'C09871']
CC(C)=CCCC(C)=CCc1cc(C(=O)[O-])ccc1O	['C05848', 'C05848', 'C18131', 'C18131']
CC(C)=CCCC(C)=CCc1cc(C(=O)[O-])ccc1[O-]	['C05848', 'C18131']
CC(C)=CCCC(C)=CCc1cc(O)c2ccccc2c1[O-]	['C19847']
CC(C)=CCCC(C)=CCc1cc(O)ccc1[O-]	['C10793']
CC(C)=CCCC(C)=CCc1cc([O-])c2ccccc2c1O	['C19847']
CC(C)=CCCC(C)=CCc1cc([O-])c2ccccc2c1[O-]	['C19847']
CC(C)=CCCC(C)=CCc1cc([O-])ccc1O	['C10793']
CC(C)=CCCC(C)=CCc1cc([O-])ccc1[O-]	['C10793']
CC(C)=CCCC(C)=CCc1cccc(O)c1[O-]	['C17551']
CC(C)=CCCC(C)=CCc1cccc([O-])c1O	['C17551']
CC(C)=CCCC(C)=CCc1cccc([O-])c1[O-]	['C17551']
CC(C)=CCCC(C)=CCc1ccccc1[O-]	['C05807']
CC(C)=CCCC(C)CC(=O)[O-]	['C16462']
CC(C)=CCCC(C)CC[O-]	['C09849', 'C11386']
CC(C)=CCCC1=CC(=O)c2c(O)ccc([O-])c2C1=O	['C18133']
CC(C)=CCCC1=CC(=O)c2c([O-])ccc(O)c2C1=O	['C18133']
CC(C)=CCCC1=CC(=O)c2c([O-])ccc([O-])c2C1=O	['C18133']
CC(C)=CCCC1=CC(c2cc(O)ccc2[O-])OC1	['C18135']
CC(C)=CCCC1=CC(c2cc([O-])ccc2O)OC1	['C18135']
CC(C)=CCCC1=CC(c2cc([O-])ccc2[O-])OC1	['C18135']
CC(C)=CCNc1ncnc2[n-]cnc12	['C04083']
CC(C)=CCOP(=O)([O-])O	['C21214']
CC(C)=CCOP(=O)([O-])[O-]	['C21214']
CC(C)=CC[O-]	['C01390']
CC(C)=CCc1c([O-])ccc2ccc(=O)oc12	['C18080']
CC(C)=CCc1cc(C(=O)[O-])ccc1O	['C12458', 'C12458']
CC(C)=CCc1cc(C(=O)[O-])ccc1[O-]	['C12458']
CC(C)=CCc1cc(C=O)ccc1[O-]	['C12459']
CC(C)=CCc1cc(CC(=O)C(=O)[O-])ccc1O	['C12456', 'C12456']
CC(C)=CCc1cc(CC(=O)C(=O)[O-])ccc1[O-]	['C12456']
